attention_1,attention_2,attention_3,attention_4,attention_5,attention_6,attention_7,Q15_First Click,Q15_Last Click,Q15_Page Submit,Q15_Click Count,israel_sentiment_1,israel_sentiment_2,israel_sentiment_3,israel_sentiment_4,israel_sentiment_5,israel_sentiment_6,letter,antisemitism_1,antisemitism_2,antisemitism_3,antisemitism_4,antisemitism_5,report_eval,man_a,man_b,man_c,man_d,apartheid,antisemitism_opened,sex,sex_3_TEXT,state,race,race_6_TEXT,ethnicity,age_1,education,religion,religion_11_TEXT,partisanship,age,gender,hhi,ethnicity,hispanic,education,political_party,region,condition 
Somewhat Agree,Somewhat Disagree,Neither agree nor disagree,Agree strongly,Somewhat Agree,Disagree strongly,Agree strongly,54.178,54.178,58.101,1,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,I'd like to write a letter in support of Israel,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat antisemitic,Yes,Yes,Yes,Yes,Every country is not focusing on the importance of life it's self.All they think about is partying like nothing serious is going on in this country and complaining.Some have the library and dictionary stuck in their heads but words can be spoken and not meant.These experts are still not trained correct so it's going to take higher powers to heal these people on the ground.Mental conditions are showing up everywhere and their plots are destroying right in front of their eyes.Having children and neglecting them will take them multiple years to understand divided we fall and United we stand.A man will always rebuild but a female can't because of social programs at her section eight discretion.,It's simple and plain to say that a sample is better than no action at all.Joining together is not easy so holding them towards a single vote by the end of the year tell me and this country alot about making decisions.If they can't be coached or guided these guilty people are going heard flock right together like a riot rage crimal huddle.,Male,,Georgia,Black or African American,,Not Hispanic or Latino or Spanish origin,40,Some college but no degree,Other,,Strong Democrat,40,1,9,2,1,4,1,3,3
Somewhat Agree,Somewhat Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree strongly,Agree strongly,0,0,18.986,0,Somewhat agree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,No letter,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Very antisemitic,Yes,Yes,Yes,No,Apartheid is segregation of certain people.,Anitsemitism is being against Jews.,Female,,Louisiana,White,,Not Hispanic or Latino or Spanish origin,63,Associate degree in college (2-year),Roman Catholic,,Independent,63,2,12,1,1,7,5,3,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,1,11,2,1,4,4,1,
Neither agree nor disagree,Somewhat Disagree,Neither agree nor disagree,Agree strongly,Somewhat Agree,Disagree strongly,Agree strongly,0,0,8.88,0,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,No letter,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,No,No,No,No,A society where people of one color are able to achieve a greater socio-economic status and education while another color is segregated and only has access to what the higher status group allows them,"Hating the Jewish people as a group or individually
",Female,,Michigan,White,,Not Hispanic or Latino or Spanish origin,60,Bachelor's degree in college (4-year),Roman Catholic,,"Independent, but Lean Democrat",60,2,23,2,1,6,7,2,1
Somewhat Agree,Somewhat Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,2,1,15,16,6,6,1,
Agree strongly,Somewhat Agree,Neither agree nor disagree,Somewhat Agree,Somewhat Disagree,Disagree strongly,Agree strongly,11.315,11.315,12.631,1,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,No letter,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat antisemitic,Yes,No,Yes,Yes,Group is siding fashion opposed to another group.! ,Against one’s way of proceeding,Male,,Ohio,Black or African American,,Not Hispanic or Latino or Spanish origin,51,Some college but no degree,Other,,Strong Democrat,51,1,6,2,1,4,1,2,2
Agree strongly,Agree strongly,Neither agree nor disagree,Somewhat Agree,Neither agree nor disagree,Disagree strongly,Agree strongly,2.804,48.123,48.881,7,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree,I'd like to write a letter in opposition of Israel,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Not very antisemitic,Yes,Yes,Yes,No,"The Apartheid is making some people special and more important than every one else 
And making this people the one who can mak decisions about the others ","Violent antisemitism and hatred did not end with the Holocaust and are on the rise. Using examples from Europe, the Middle East, and the United States, this seven-minute film explains how antisemitic violence and Holocaust denial are a threat to liberal society today.",Female,,California,Black or African American,,Not Hispanic or Latino or Spanish origin,41,Bachelor's degree in college (4-year),Orthodox (Greek or Russian),,Strong Democrat,37,2,11,2,1,6,1,4,7
Somewhat Agree,Somewhat Agree,Neither agree nor disagree,Neither agree nor disagree,Agree strongly,Disagree strongly,Agree strongly,11.619,11.619,12.583,1,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No letter,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat antisemitic,Yes,No,No,No,I'm not sure how I feel about apartheid ,I'm not sure ,Female,,North Carolina,White,,Not Hispanic or Latino or Spanish origin,45,Less than high school degree,Nothing in particular,,Republican,45,2,1,1,1,1,10,3,6
Neither agree nor disagree,Somewhat Disagree,Neither agree nor disagree,Somewhat Disagree,Somewhat Agree,Neither agree nor disagree,Agree strongly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,2,1,15,14,1,7,1,
Somewhat Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Agree,Neither agree nor disagree,Disagree strongly,Agree strongly,1.285,6.936,8.122,4,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,No letter,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Not very antisemitic,Yes,Yes,Yes,Yes,Segregation on grounds other than race,Racism or prejudiced against the Jewish community or culture,Female,,Florida,White,,Not Hispanic or Latino or Spanish origin,40,Some college but no degree,Roman Catholic,,Independent,40,2,1,1,1,4,4,3,4
Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,2,1,15,2,4,4,4,
Somewhat Disagree,Somewhat Disagree,Neither agree nor disagree,Somewhat Agree,Somewhat Agree,Disagree strongly,Agree strongly,0,0,45.764,0,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,No letter,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat antisemitic,Yes,No,Yes,No,Discrimination against a race different from your own,Feeling of hate toward another ethnicity ,Male,,California,Asian or Asian American,,Not Hispanic or Latino or Spanish origin,49,Some college but no degree,Nothing in particular,,Independent,49,1,18,16,15,6,4,4,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,2,1,15,2,2,2,4,
Somewhat Disagree,Somewhat Disagree,Neither agree nor disagree,Agree strongly,Somewhat Agree,Disagree strongly,Agree strongly,1.251,37.889,65.967,3,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,No letter,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Not very antisemitic,Yes,Yes,Yes,No,The term is strongly associated with South African governments and systems however it is the gross oppression and discrimination due to race. ,Hostilities and oppression of Ashkenazi Jews. ,Female,,Pennsylvania,Black or African American,,Hispanic or Latino or Spanish origin,38,Some college but no degree,Other,Hebrew,Independent,38,2,1,2,12,4,4,1,5
Somewhat Agree,Somewhat Disagree,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Disagree strongly,Disagree strongly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,2,2,1,1,1,2,3,
Somewhat Agree,Neither agree nor disagree,Neither agree nor disagree,Agree strongly,Agree strongly,Agree strongly,Neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,1,19,2,4,7,10,3,
Somewhat Agree,Somewhat Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Disagree,Disagree strongly,Somewhat Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,2,1,4,14,7,3,3,
Neither agree nor disagree,Neither agree nor disagree,Somewhat Agree,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Somewhat Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,2,1,2,1,2,1,3,
Somewhat Agree,Disagree strongly,Neither agree nor disagree,Agree strongly,Somewhat Agree,Disagree strongly,Agree strongly,18.058,18.058,21.74,1,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,I'd like to write a letter in support of Israel,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Very antisemitic,Yes,No,Yes,Yes,To govern two people groups differently by the same government. With one held in contempt and with limited rights compared to the other people ,"A hatred for the Jewish people, history, practices ",Male,,California,Other,,Not Hispanic or Latino or Spanish origin,48,Associate degree in college (2-year),Other,,"Independent, but Lean Republican",48,1,19,15,1,5,8,4,4
Neither agree nor disagree,Neither agree nor disagree,Agree strongly,Somewhat Agree,Agree strongly,Disagree strongly,Agree strongly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1,4,3,1,2,5,4,
Agree strongly,Somewhat Disagree,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Disagree strongly,Agree strongly,7.113,51.178,62.829,6,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,No letter,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat antisemitic,Yes,Yes,Yes,No,A legislation that upheld segregraionalist policies against non-white citizens.,Prejudice against Jewish people.,Female,,Florida,Black or African American,,Not Hispanic or Latino or Spanish origin,37,High school graduate (high school diploma or equivalent including GED),Other,Christian,"Independent, but Lean Democrat",63,1,1,1,1,1,3,3,2
Disagree strongly,Somewhat Agree,Neither agree nor disagree,Somewhat Agree,Somewhat Disagree,Disagree strongly,Agree strongly,0.643,5.541,6.397,6,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,I'd like to write a letter in opposition of Israel,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat antisemitic,Yes,Yes,Yes,Yes,i’m not educated enough to say ,hatred against jewish people ,Female,,New Mexico,White,,Not Hispanic or Latino or Spanish origin,18,High school graduate (high school diploma or equivalent including GED),Nothing in particular,,Strong Democrat,18,2,20,3,2,6,1,4,5
Agree strongly,Agree strongly,Neither agree nor disagree,Agree strongly,Somewhat Agree,Disagree strongly,Somewhat Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,1,1,1,1,2,1,3,
Somewhat Agree,Neither agree nor disagree,Somewhat Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree strongly,Agree strongly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,1,1,2,1,2,3,3,
Agree strongly,Agree strongly,Neither agree nor disagree,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,1.262,3.354,15.301,5,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,No letter,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Very antisemitic,Yes,Yes,Yes,Yes,Nothing ,Nothing ,Female,,Texas,Black or African American,,Hispanic or Latino or Spanish origin,56,High school graduate (high school diploma or equivalent including GED),Protestant,,"Independent, but Lean Democrat",55,2,22,2,1,2,4,3,3
Agree strongly,Agree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Agree strongly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,1,1,15,14,3,5,3,
Disagree strongly,Somewhat Disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,2,4,2,1,4,1,1,
Neither agree nor disagree,Disagree strongly,Neither agree nor disagree,Somewhat Agree,Somewhat Agree,Disagree strongly,Agree strongly,1.278,24.397,25.516,3,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,I'd like to write a letter in opposition of Israel,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat antisemitic,No,No,No,No,Unsure ,Unsure ,Female,,Maryland,White,,Not Hispanic or Latino or Spanish origin,19,Some college but no degree,Jewish,,Democrat,19,2,19,1,1,2,1,3,7
Somewhat Agree,Somewhat Agree,Neither agree nor disagree,Somewhat Agree,Agree strongly,Disagree strongly,Somewhat Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,1,19,1,1,4,1,3,
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree strongly,Agree strongly,0,0,11.905,0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No letter,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Not at all antisemitic,Yes,Yes,Yes,Yes,i’m not interested in that.,i’m not very interested in that.,Female,,Georgia,Other,multiracial ,Not Hispanic or Latino or Spanish origin,21,High school graduate (high school diploma or equivalent including GED),Other,christian ,Independent,20,2,8,15,1,2,4,3,2
Agree strongly,Somewhat Disagree,Neither agree nor disagree,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,0.768,5.879,6.389,4,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat disagree,No letter,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat antisemitic,Yes,Yes,Yes,Yes,I don’t know,I don’t know,Female,,Arkansas,White,,Not Hispanic or Latino or Spanish origin,20,Associate degree in college (2-year),Other,Christian,Republican,20,2,17,1,1,5,9,3,7
Somewhat Agree,Somewhat Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree strongly,Disagree strongly,Agree strongly,0.871,2.079,5.811,2,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I'd like to write a letter in opposition of Israel,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Not at all antisemitic,No,No,No,Yes,segregation ,against semitism ,Female,,New Jersey,White,,Hispanic or Latino or Spanish origin,18,High school graduate (high school diploma or equivalent including GED),Other,,Independent,18,2,1,1,16,2,7,1,5
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Agree,Neither agree nor disagree,Disagree strongly,Agree strongly,15.01,15.01,15.281,1,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,No letter,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat antisemitic,Yes,Yes,Yes,Yes,It's a policy of racial seperation or segregation ,Discrimination directed against Semitic people ,Male,,California,White,,Not Hispanic or Latino or Spanish origin,25,Bachelor's degree in college (4-year),Jewish,,Strong Democrat,26,1,20,1,1,6,1,4,3
Neither agree nor disagree,Disagree strongly,Neither agree nor disagree,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,2.756,158.531,159.302,5,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No letter,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very antisemitic,Yes,Yes,Yes,Yes,Apartheid was a system of institutionalised racial segregation that existed in South Africa and South West Africa from 1948 to the early 1990s.,Antisemitism is prejudice against or hatred of Jews. Learn more about the history of the word and Nazi antisemitism in the Holocaust Encyclopedia.,Male,,Texas,White,,Not Hispanic or Latino or Spanish origin,32,Master's degree,Protestant,,Strong Democrat,32,1,8,1,1,7,1,3,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,2,1,2,1,2,1,1,
Disagree strongly,Somewhat Agree,Neither agree nor disagree,Disagree strongly,Neither agree nor disagree,Disagree strongly,Agree strongly,0,0,41.299,0,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,No letter,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat antisemitic,Yes,No,Yes,Yes,Not exactly sure. ,Against the Jews. ,Female,,Ohio,White,,Not Hispanic or Latino or Spanish origin,65,High school graduate (high school diploma or equivalent including GED),Protestant,,Democrat,65,2,2,1,1,2,2,2,3
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Agree,Neither agree nor disagree,Disagree strongly,Agree strongly,3.883,3.883,7.649,1,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No letter,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat antisemitic,Yes,Yes,Yes,Yes,I’m not sure how to define it,I’m not sure how to define it ,Female,,Connecticut,White,,Not Hispanic or Latino or Spanish origin,44,High school graduate (high school diploma or equivalent including GED),Roman Catholic,,Strong Democrat,44,2,19,1,1,2,1,1,3
Neither agree nor disagree,Somewhat Disagree,Neither agree nor disagree,Somewhat Agree,Somewhat Agree,Disagree strongly,Agree strongly,1.001,1.001,10.442,1,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,I'd like to write a letter in support of Israel,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat antisemitic,Yes,Yes,Yes,Yes,Good for everyone in a very big society to make work easier,Good for everyone in a very big society,Male,,New York,White,,Not Hispanic or Latino or Spanish origin,40,Master's degree,Muslim,,Strong Democrat,41,1,23,1,1,7,1,1,3
Somewhat Disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Disagree,Somewhat Disagree,Disagree strongly,Agree strongly,4.737,4.737,5.84,1,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,No letter,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Strongly disagree,,No,No,No,No,A system of separation based upon race,Prejudice towards Jewish people ,Female,,Texas,White,,Not Hispanic or Latino or Spanish origin,35,"Professional degree (JD, MD)",Nothing in particular,,Democrat,35,2,9,1,1,7,1,3,1
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree strongly,Agree strongly,4.468,4.468,5.833,1,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No letter,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat antisemitic,Yes,Yes,Yes,No,Don’t know.,Don’t know ,Male,,Florida,Black or African American,,Not Hispanic or Latino or Spanish origin,67,Some college but no degree,Protestant,,Democrat,67,2,3,2,1,4,2,3,6
Somewhat Agree,Neither agree nor disagree,Neither agree nor disagree,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,0,0,8.094,0,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,No letter,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,No,No,No,No,Discrimination in Africa area,Hatred to jews,Female,,Florida,Asian or Asian American,,Not Hispanic or Latino or Spanish origin,64,Master's degree,Roman Catholic,,Strong Democrat,64,2,19,5,1,7,2,1,1
Somewhat Agree,Disagree strongly,Neither agree nor disagree,Somewhat Agree,Somewhat Agree,Disagree strongly,Agree strongly,17.539,17.539,18.2,1,Somewhat agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,No letter,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat antisemitic,Yes,Yes,Yes,No,racial segregation,mad r upset with jewish people,Female,,Florida,Black or African American,,Not Hispanic or Latino or Spanish origin,55,High school graduate (high school diploma or equivalent including GED),Protestant,,Strong Democrat,55,2,5,2,1,2,1,3,2
Disagree strongly,Somewhat Agree,Neither agree nor disagree,Somewhat Agree,Disagree strongly,Disagree strongly,Agree strongly,0,0,6.975,0,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,No letter,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,,No,No,No,No,The oppression of people based on religious or cultural biases ,Someone who doesnt like Jews,Male,,California,White,,Not Hispanic or Latino or Spanish origin,42,Some college but no degree,Atheist/agnostic,,Democrat,42,1,6,1,1,4,2,4,1
Neither agree nor disagree,Somewhat Agree,Neither agree nor disagree,Somewhat Agree,Agree strongly,Disagree strongly,Agree strongly,0,0,43.644,0,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,No letter,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Not at all antisemitic,Yes,No,Yes,Yes,A separation,This being anti jewish,Female,,Ohio,White,,Not Hispanic or Latino or Spanish origin,61,High school graduate (high school diploma or equivalent including GED),Protestant,,Strong Democrat,61,2,9,1,1,5,1,2,3
Somewhat Disagree,Somewhat Agree,Neither agree nor disagree,Somewhat Disagree,Somewhat Disagree,Disagree strongly,Agree strongly,28.482,35.273,36.434,2,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,No letter,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Not very antisemitic,Yes,Yes,No,Yes,Being cruel to a race because you think you better,Attitude based on race religion,Female,,Minnesota,White,,Not Hispanic or Latino or Spanish origin,71,Some college but no degree,Nothing in particular,,Democrat,71,2,6,1,1,4,2,2,7
Disagree strongly,Somewhat Agree,Neither agree nor disagree,Somewhat Disagree,Somewhat Disagree,Disagree strongly,Agree strongly,1.593,5.181,6.2,4,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No letter,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat antisemitic,No,No,No,No,I don't  know  still learning ,Need more info,Female,,Massachusetts,White,,Not Hispanic or Latino or Spanish origin,35,Less than high school degree,Other,,Independent,35,2,1,1,1,2,4,1,3
Agree strongly,Somewhat Disagree,Neither agree nor disagree,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,0,0,14.645,0,Strongly agree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,I'd like to write a letter in support of Israel,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Very antisemitic,Yes,Yes,Yes,Yes,It is a political and social condition of one group held superior over another group(s).,Political and social discrimination of those of Semitic origin. Semitic origin includes both Jews and Arabs. ,Male,,California,White,,Not Hispanic or Latino or Spanish origin,74,Bachelor's degree in college (4-year),Protestant,,Independent,74,1,6,1,1,6,4,4,6
Somewhat Disagree,Somewhat Agree,Neither agree nor disagree,Somewhat Agree,Somewhat Agree,Disagree strongly,Agree strongly,0,0,46.955,0,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,No letter,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat antisemitic,Yes,Yes,No,No,I am not sure.,It is to be against one form of religion or another.,Female,,Ohio,White,,Not Hispanic or Latino or Spanish origin,72,Some college but no degree,Roman Catholic,,Republican,72,2,9,1,1,4,9,2,5
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Disagree,Neither agree nor disagree,Disagree strongly,Agree strongly,4.011,8.13,9.301,4,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,No letter,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat antisemitic,Yes,Yes,Yes,Yes,Keeping the rights for the people ,Anything against you or your religion ,Female,,California,White,,Hispanic or Latino or Spanish origin,53,Some college but no degree,Protestant,,Republican,53,2,8,1,2,4,10,4,6
Agree strongly,Agree strongly,Neither agree nor disagree,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,0,0,32.511,0,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,I'd like to write a letter in support of Israel,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very antisemitic,No,Yes,Yes,Yes,Apartheid was a system of institutionalised racial segregation that existed in South africa,Antisemitism is prejudice against or hatred of Jews,Male,,Missouri,White,,Not Hispanic or Latino or Spanish origin,37,Master's degree,Protestant,,Strong Democrat,37,1,20,1,1,7,1,2,4
Somewhat Disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Agree,Somewhat Agree,Disagree strongly,Agree strongly,0,0,22.848,0,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,No letter,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,No,No,No,No,Discrimination,Against Jews,Female,,Michigan,White,,Not Hispanic or Latino or Spanish origin,68,Master's degree,Other,Wiccan,Strong Democrat,68,2,1,1,1,7,1,2,1
Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Agree,Neither agree nor disagree,Disagree strongly,Agree strongly,0,0,17.189,0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,No letter,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat antisemitic,Yes,Yes,No,No,No idea,No idea,Female,,California,White,,Not Hispanic or Latino or Spanish origin,40,Associate degree in college (2-year),Atheist/agnostic,,"Independent, but Lean Republican",40,2,19,15,1,5,7,4,2
Neither agree nor disagree,Somewhat Disagree,Neither agree nor disagree,Somewhat Agree,Somewhat Agree,Disagree strongly,Agree strongly,0,0,24.857,0,Somewhat agree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,I'd like to write a letter in support of Israel,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat antisemitic,Yes,No,No,No,racial segregation formerly practiced in South Africa,discrimination against Isreal and people of jewish faith worldwide,Male,,Florida,White,,Not Hispanic or Latino or Spanish origin,56,Bachelor's degree in college (4-year),Protestant,,Democrat,56,1,15,1,1,6,6,3,2
Somewhat Agree,Somewhat Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Agree,Disagree strongly,Somewhat Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,1,21,1,1,4,1,1,
